subject_knowledge,engagement,management,preparedness,professionalism,recommended_training
2.6,3.1,4.4,2.6,3.2,Advanced Curriculum Design
4.4,4.4,2.8,4.1,3.6,Advanced Curriculum Design
3.8,2.9,4.9,4.2,4.6,Advanced Curriculum Design
2.7,4.8,4.8,3.0,3.9,Classroom Management Workshop
4.6,4.1,3.0,3.0,3.2,Classroom Management Workshop
5.0,4.9,4.1,3.3,3.3,Classroom Management Workshop
2.8,3.2,4.5,3.6,3.0,Engaging Students in Online Learning
2.5,3.5,3.8,4.5,2.9,Engaging Students in Online Learning
2.5,4.2,2.6,3.8,4.0,Engaging Students in Online Learning
4.4,4.0,2.6,3.3,3.0,Research Writing and Publication
3.4,3.9,3.1,3.8,3.0,Research Writing and Publication
3.5,3.7,4.1,3.2,4.7,Research Writing and Publication
4.3,2.6,3.2,2.5,3.1,Effective Assessment Strategies
2.6,3.3,5.0,3.6,3.0,Effective Assessment Strategies
2.7,3.8,4.9,2.7,3.4,Effective Assessment Strategies
3.9,2.6,4.5,3.4,3.6,Integrating Technology in Teaching
3.4,4.1,3.1,3.1,4.5,Integrating Technology in Teaching
3.0,3.3,5.0,3.8,2.7,Integrating Technology in Teaching
4.3,2.7,3.8,4.2,4.9,Stress Management and Faculty Wellness
4.1,3.2,3.5,4.8,4.0,Stress Management and Faculty Wellness
4.6,3.1,3.0,3.9,4.9,Stress Management and Faculty Wellness
2.5,4.0,2.5,4.0,3.1,Improving Communication Skills
2.8,3.9,3.3,2.5,3.6,Improving Communication Skills
3.6,3.1,3.3,4.8,2.8,Improving Communication Skills
3.9,4.9,4.1,2.7,3.9,Outcome-Based Education Seminar
4.7,3.1,4.5,4.5,4.8,Outcome-Based Education Seminar
3.9,3.2,4.6,3.8,4.0,Outcome-Based Education Seminar
3.1,3.1,2.7,4.3,4.6,Time Management for Educators
3.1,3.4,4.3,3.9,3.4,Time Management for Educators
4.2,4.2,4.8,4.4,3.3,Time Management for Educators
4.0,2.9,3.1,3.3,2.5,Innovative Teaching Strategies
2.7,3.2,2.7,4.3,3.1,Innovative Teaching Strategies
2.8,3.8,3.7,4.2,4.3,Innovative Teaching Strategies
3.0,3.1,4.4,3.4,4.7,Building Empathy in the Classroom
4.4,2.6,4.5,2.7,5.0,Building Empathy in the Classroom
4.5,2.6,4.5,4.8,4.8,Building Empathy in the Classroom
3.2,4.1,3.3,4.5,2.7,Using Rubrics Effectively
3.0,4.3,4.9,4.1,3.8,Using Rubrics Effectively
3.4,4.0,4.0,4.5,3.0,Using Rubrics Effectively
2.7,2.6,4.5,4.8,3.2,Instructional Leadership Training
4.4,3.5,4.1,3.4,3.4,Instructional Leadership Training
3.7,3.9,3.5,4.7,4.6,Instructional Leadership Training
4.6,4.9,4.1,4.4,2.8,Creating Inclusive Learning Environments
4.1,3.7,3.9,3.2,3.1,Creating Inclusive Learning Environments
3.2,4.8,2.8,4.8,3.8,Creating Inclusive Learning Environments
3.7,3.5,4.6,2.9,4.3,Digital Pedagogy Workshop
3.0,4.4,2.6,2.9,2.9,Digital Pedagogy Workshop
3.9,4.2,3.1,4.7,3.6,Digital Pedagogy Workshop
3.7,3.9,3.8,2.9,2.7,Emotional Intelligence for Educators
3.8,3.4,4.3,4.2,2.7,Emotional Intelligence for Educators
2.9,4.9,2.6,4.3,3.1,Emotional Intelligence for Educators
4.6,4.2,4.9,3.0,4.2,Blended Learning Design
4.5,3.7,4.3,3.9,2.8,Blended Learning Design
2.6,4.4,4.4,3.5,4.1,Blended Learning Design
4.3,2.9,4.2,4.8,3.1,Flipped Classroom Implementation
3.8,4.1,3.0,4.8,5.0,Flipped Classroom Implementation
4.7,2.9,3.4,4.5,3.4,Flipped Classroom Implementation
